video_name,seq_num,pred_frame_num
bedroom_dark01,0,7
bedroom_dark01,0,9
bedroom_dark01,1,7
bedroom_dark01,1,9
bedroom_dark01,2,7
bedroom_dark01,2,9
bedroom_dark01,3,7
bedroom_dark01,3,9
bedroom_interior01,0,7
bedroom_interior01,0,9
bedroom_interior01,1,7
bedroom_interior01,1,9
bedroom_interior01,2,7
bedroom_interior01,2,9
bedroom_interior01,3,7
bedroom_interior01,3,9
eatery01,0,7
eatery01,0,9
eatery01,1,7
eatery01,1,9
eatery01,2,7
eatery01,2,9
eatery01,3,7
eatery01,3,9
kitchen06,0,7
kitchen06,0,9
kitchen06,1,7
kitchen06,1,9
kitchen06,2,7
kitchen06,2,9
kitchen06,3,7
kitchen06,3,9
modern_bedroom03,0,7
modern_bedroom03,0,9
modern_bedroom03,1,7
modern_bedroom03,1,9
modern_bedroom03,2,7
modern_bedroom03,2,9
modern_bedroom03,3,7
modern_bedroom03,3,9
room_bunkerbed01,0,7
room_bunkerbed01,0,9
room_bunkerbed01,1,7
room_bunkerbed01,1,9
room_bunkerbed01,2,7
room_bunkerbed01,2,9
room_bunkerbed01,3,7
room_bunkerbed01,3,9
rpg_indoor01,0,7
rpg_indoor01,0,9
rpg_indoor01,1,7
rpg_indoor01,1,9
rpg_indoor01,2,7
rpg_indoor01,2,9
rpg_indoor01,3,7
rpg_indoor01,3,9
skyscraper02,0,7
skyscraper02,0,9
skyscraper02,1,7
skyscraper02,1,9
skyscraper02,2,7
skyscraper02,2,9
skyscraper02,3,7
skyscraper02,3,9
street_at_sunset01,0,7
street_at_sunset01,0,9
street_at_sunset01,1,7
street_at_sunset01,1,9
street_at_sunset01,2,7
street_at_sunset01,2,9
street_at_sunset01,3,7
street_at_sunset01,3,9
underwater_hotel01,0,7
underwater_hotel01,0,9
underwater_hotel01,1,7
underwater_hotel01,1,9
underwater_hotel01,2,7
underwater_hotel01,2,9
underwater_hotel01,3,7
underwater_hotel01,3,9
