video_name,seq_name,pred_frame_num
market_2,albedo,7
market_2,albedo,9
market_2,albedo,11
market_2,albedo,13
market_2,albedo,15
market_2,albedo,17
market_2,albedo,19
market_2,albedo,21
market_2,albedo,23
market_2,albedo,25
market_2,albedo,27
market_2,albedo,29
market_2,albedo,31
market_2,albedo,33
market_2,albedo,35
market_2,albedo,37
market_2,albedo,39
market_2,albedo,41
market_2,albedo,43
market_2,albedo,45
market_2,albedo,47
market_2,clean,7
market_2,clean,9
market_2,clean,11
market_2,clean,13
market_2,clean,15
market_2,clean,17
market_2,clean,19
market_2,clean,21
market_2,clean,23
market_2,clean,25
market_2,clean,27
market_2,clean,29
market_2,clean,31
market_2,clean,33
market_2,clean,35
market_2,clean,37
market_2,clean,39
market_2,clean,41
market_2,clean,43
market_2,clean,45
market_2,clean,47
market_2,final,7
market_2,final,9
market_2,final,11
market_2,final,13
market_2,final,15
market_2,final,17
market_2,final,19
market_2,final,21
market_2,final,23
market_2,final,25
market_2,final,27
market_2,final,29
market_2,final,31
market_2,final,33
market_2,final,35
market_2,final,37
market_2,final,39
market_2,final,41
market_2,final,43
market_2,final,45
market_2,final,47
shaman_3,albedo,7
shaman_3,albedo,9
shaman_3,albedo,11
shaman_3,albedo,13
shaman_3,albedo,15
shaman_3,albedo,17
shaman_3,albedo,19
shaman_3,albedo,21
shaman_3,albedo,23
shaman_3,albedo,25
shaman_3,albedo,27
shaman_3,albedo,29
shaman_3,albedo,31
shaman_3,albedo,33
shaman_3,albedo,35
shaman_3,albedo,37
shaman_3,albedo,39
shaman_3,albedo,41
shaman_3,albedo,43
shaman_3,albedo,45
shaman_3,albedo,47
shaman_3,clean,7
shaman_3,clean,9
shaman_3,clean,11
shaman_3,clean,13
shaman_3,clean,15
shaman_3,clean,17
shaman_3,clean,19
shaman_3,clean,21
shaman_3,clean,23
shaman_3,clean,25
shaman_3,clean,27
shaman_3,clean,29
shaman_3,clean,31
shaman_3,clean,33
shaman_3,clean,35
shaman_3,clean,37
shaman_3,clean,39
shaman_3,clean,41
shaman_3,clean,43
shaman_3,clean,45
shaman_3,clean,47
shaman_3,final,7
shaman_3,final,9
shaman_3,final,11
shaman_3,final,13
shaman_3,final,15
shaman_3,final,17
shaman_3,final,19
shaman_3,final,21
shaman_3,final,23
shaman_3,final,25
shaman_3,final,27
shaman_3,final,29
shaman_3,final,31
shaman_3,final,33
shaman_3,final,35
shaman_3,final,37
shaman_3,final,39
shaman_3,final,41
shaman_3,final,43
shaman_3,final,45
shaman_3,final,47
